carrier,from_airport,to_airport,,long,lat,wac
SP,Asturias,LEAS,,-6.034622,43.563567,416
SP,Torrejon,LETO,,-3.445872,40.496747,2026
SP,Salamanca,LESA,,-5.501986,40.952117,2595
SP,Granada,LEGR,,-3.777356,37.188731,1860
SP,Vigo,LEVX,,-8.626775,42.2318,855
SP,Hierro,GCHI,,-17.887056,27.814847,103
SP,Sevilla,LEZL,,-5.893106,37.418,111
SP,Tenerife Sur,GCTS,,-16.572489,28.044475,209
SP,Talavera La Real,LEBZ,,-6.821333,38.89125,609
SP,Alicante,LEAL,,-0.558156,38.282169,142
SP,Seo De Urgel,LESU,,1.409167,42.338611,2625
SP,Valladolid,LEVD,,-4.851944,41.706111,2775
SP,Tablada,LE85,,-6.014556,37.351696,26
SP,A Coruna,LECO,,-8.377256,43.302061,326
SP,Pamplona,LEPP,,-1.646331,42.770039,1504
SP,Ibiza,LEIB,,1.373117,38.872858,20
SP,Albacete,LEAB,,-1.863517,38.948528,2302
SP,La Cerdana,LECD,,1.866667,42.386389,3586
SP,San Sebastian,LESO,,-1.790611,43.356519,15
SP,Leon,LELN,,-5.655556,42.589,3006
SP,Burgos,LEBG,,-3.620764,42.357628,2945
SP,Logrono,LERJ,,-2.320489,42.460528,1156
SP,Robledillo De Mohernando,LERM,,-3.247778,40.865278,3097
SP,San Luis,LESL,,4.258333,39.862222,197
SP,Ocana,LEOC,,-3.503333,39.9375,2405
ST,George F L Charles,TLPC,,-60.992936,14.020228,22
ST,Hewanorra Intl,TLPL,,-60.952597,13.733194,14
SU,Juba,HSSJ,,31.601117,4.872006,1513
SU,Port Sudan,HSPN,,37.234075,19.433639,135
SU,Kassala,HSKA,,36.328842,15.387494,1671
SU,Khartoum,HSSS,,32.553161,15.589497,1265
SU,El Obeid,HSOB,,30.232675,13.153219,1927
SU,Malakal,HSSM,,31.652242,9.558969,1291
SU,Damazin,HSDZ,,34.336656,11.785889,1582
SU,Dongola,HSDN,,30.430094,19.153867,773
SU,El Fashir,HSFS,,25.32465,13.614892,2393
SU,Nyala,HSNN,,24.956178,12.053475,2106
SU,Kadugli,HSLI,,29.701122,11.138028,1848
SV,Longyear,ENSB,,15.465556,78.246111,88
SV,Broggerhalvoya,EN67,,11.874272,78.927528,50
SW,Pajala,ESUP,,23.068911,67.245639,542
SW,Karlstad,ESOK,,13.337361,59.444714,352
SW,Pitea,ESNP,,21.260833,65.398333,43
SW,Kronoberg,ESMX,,14.727994,56.929144,610
SW,Soderhamn,ESNY,,17.099053,61.261481,88
SW,Saab,ESSL,,15.680508,58.40615,172
SW,Kungsangen,ESSP,,16.250622,58.586253,32
SW,Eskilstuna,ESSU,,16.7084,59.351078,139
SW,Arvidsjaur,ESNX,,19.281944,65.590278,1245
SW,Gavle,ESSK,,16.951389,60.593333,224
SW,Hagfors,ESOH,,13.578908,60.020064,474
SW,Hemavan,ESUT,,15.082778,65.806111,1503
SW,Visby,ESSV,,18.346211,57.662797,164
SW,Falkoping,ESGK,,13.587847,58.169794,785
SW,Hudiksvall,ESNH,,17.080719,61.768092,95
SW,Storuman,ESUD,,17.696583,64.960894,915
SW,Kalmar,ESMQ,,16.287578,56.685531,17
